loyalty_member,gender_F,gender_M,region_East,region_North,region_West,purchased
1,True,False,False,False,False,1
0,True,False,True,False,False,1
0,False,True,False,False,True,1
0,True,False,False,False,False,1
0,False,True,False,True,False,0
0,True,False,False,False,True,0
0,False,True,False,True,False,1
1,False,True,True,False,False,1
0,True,False,False,True,False,1
0,False,True,False,True,False,1
0,False,True,False,False,True,0
1,False,True,False,True,False,0
0,False,True,True,False,False,0
1,False,True,True,False,False,0
1,False,True,False,True,False,0
1,True,False,False,True,False,0
1,True,False,False,False,True,1
0,False,True,True,False,False,1
1,False,True,False,True,False,0
0,True,False,False,False,True,0
1,True,False,False,False,False,1
1,True,False,False,True,False,0
1,True,False,False,False,True,1
1,True,False,False,True,False,0
0,False,True,True,False,False,1
1,False,True,False,False,True,1
1,True,False,True,False,False,1
1,True,False,True,False,False,0
0,False,True,False,False,False,0
1,True,False,False,True,False,0
0,False,True,True,False,False,1
0,True,False,False,False,True,0
0,True,False,False,True,False,0
1,False,True,False,False,True,0
0,False,True,False,False,False,0
0,False,True,True,False,False,1
0,True,False,False,True,False,0
1,True,False,True,False,False,1
0,False,True,False,True,False,0
1,False,True,False,False,False,1
1,True,False,True,False,False,1
1,False,True,False,True,False,0
1,False,True,False,False,False,1
0,False,True,True,False,False,0
0,True,False,False,True,False,1
0,True,False,False,False,False,0
1,False,True,False,False,False,0
1,True,False,True,False,False,0
1,True,False,False,False,True,0
0,False,True,False,False,True,0
0,True,False,False,True,False,0
0,True,False,False,True,False,1
0,False,True,False,True,False,0
0,False,True,True,False,False,1
1,True,False,False,True,False,0
0,True,False,False,True,False,0
1,False,True,False,False,True,0
0,True,False,False,False,True,0
0,True,False,False,False,True,0
1,False,True,False,False,False,0
1,True,False,True,False,False,1
0,False,True,True,False,False,0
0,True,False,False,True,False,1
0,False,True,True,False,False,1
1,False,True,True,False,False,0
0,True,False,False,False,False,0
1,False,True,False,False,True,0
0,True,False,True,False,False,1
1,False,True,True,False,False,0
0,True,False,True,False,False,0
1,True,False,False,False,True,1
1,True,False,True,False,False,1
0,False,True,False,False,False,1
0,False,True,False,False,True,0
1,True,False,True,False,False,1
0,True,False,False,False,True,0
0,True,False,False,True,False,0
0,False,True,False,False,False,0
0,True,False,False,False,True,0
0,False,True,True,False,False,1
0,False,True,False,False,True,0
0,True,False,False,True,False,0
0,False,True,False,True,False,0
0,True,False,False,False,True,0
0,False,True,False,False,False,1
1,False,True,True,False,False,0
0,False,True,False,False,False,1
0,True,False,False,False,False,1
0,True,False,False,False,True,1
1,True,False,False,True,False,0
0,True,False,False,False,True,0
0,True,False,False,False,True,0
0,True,False,True,False,False,0
0,True,False,False,False,False,0
0,False,True,False,True,False,0
0,False,True,True,False,False,0
1,False,True,False,False,False,1
1,False,True,False,True,False,1
0,True,False,False,False,False,0
1,False,True,False,False,True,0
1,False,True,False,False,False,1
0,True,False,False,True,False,1
0,True,False,True,False,False,1
0,True,False,False,True,False,1
1,False,True,False,False,True,0
0,False,True,False,False,True,0
1,True,False,False,False,True,0
0,False,True,False,False,True,1
1,False,True,False,True,False,0
1,False,True,False,True,False,0
0,True,False,False,False,False,0
0,True,False,False,False,False,0
1,True,False,False,False,True,0
0,True,False,True,False,False,0
0,True,False,True,False,False,0
1,False,True,False,False,True,1
0,True,False,True,False,False,0
0,False,True,False,False,False,0
0,False,True,False,False,False,1
0,True,False,True,False,False,0
1,False,True,False,True,False,0
1,False,True,True,False,False,0
0,False,True,True,False,False,0
0,True,False,True,False,False,0
1,False,True,True,False,False,1
0,False,True,False,False,True,1
0,True,False,False,False,True,0
0,False,True,True,False,False,0
0,True,False,False,False,False,0
1,True,False,False,True,False,1
0,True,False,False,False,True,0
0,False,True,False,False,True,0
1,False,True,True,False,False,1
0,False,True,False,False,True,0
1,True,False,False,False,True,1
0,False,True,False,False,True,0
0,False,True,True,False,False,1
0,False,True,False,True,False,0
1,True,False,False,True,False,1
1,False,True,False,True,False,1
0,True,False,False,False,False,1
0,False,True,True,False,False,0
0,False,True,False,False,False,0
1,False,True,False,True,False,0
0,True,False,False,True,False,1
1,False,True,False,False,True,1
1,False,True,False,False,True,1
1,True,False,False,False,False,1
0,True,False,False,False,True,0
0,True,False,True,False,False,1
0,True,False,False,False,True,0
1,False,True,False,False,True,1
1,True,False,True,False,False,1
1,False,True,False,False,False,1
0,True,False,True,False,False,1
0,True,False,False,False,False,0
1,True,False,False,False,False,0
1,True,False,True,False,False,1
1,True,False,True,False,False,0
1,True,False,True,False,False,0
0,True,False,False,False,False,0
0,False,True,False,False,False,0
0,False,True,False,True,False,1
1,False,True,True,False,False,1
1,True,False,True,False,False,1
0,False,True,False,False,True,0
1,False,True,True,False,False,0
1,False,True,False,False,False,0
1,True,False,False,True,False,1
1,True,False,False,True,False,1
0,True,False,False,False,False,0
0,False,True,False,False,False,0
1,False,True,False,False,False,0
1,False,True,False,False,False,0
0,False,True,False,False,True,0
0,False,True,False,True,False,0
1,True,False,False,False,False,1
1,True,False,False,True,False,0
0,True,False,False,False,False,0
1,False,True,True,False,False,0
0,False,True,False,True,False,1
0,True,False,False,False,False,0
1,False,True,False,True,False,0
0,False,True,False,False,True,0
1,False,True,True,False,False,0
0,True,False,False,True,False,0
1,True,False,False,True,False,0
0,False,True,False,True,False,0
1,True,False,False,False,False,1
0,True,False,False,False,True,0
1,True,False,True,False,False,1
0,True,False,False,False,True,0
0,False,True,False,False,False,0
0,True,False,False,False,False,1
1,False,True,False,False,False,0
0,True,False,False,True,False,1
1,True,False,False,False,True,1
1,True,False,False,True,False,0
1,True,False,False,False,False,0
1,True,False,True,False,False,1
